ETF,2025-04-30 0:00,2025-03-31 0:00,2025-02-28 0:00,2025-01-31 0:00,2024-12-31 0:00,2024-11-30 0:00,2024-10-31 0:00,2024-09-30 0:00,2024-08-30 0:00,2024-07-31 0:00,2024-06-28 0:00,2024-05-31 0:00,2024-04-30 0:00,2024-03-28 0:00,2024-02-29 0:00,2024-01-31 0:00,2023-12-29 0:00,2023-11-30 0:00,2023-10-31 0:00,2023-09-29 0:00,2023-08-31 0:00,2023-07-31 0:00,2023-06-30 0:00,2023-05-31 0:00,2023-04-28 0:00,2023-03-31 0:00,2023-02-28 0:00,2023-01-31 0:00,2022-12-31 0:00,2022-11-30 0:00,2022-10-31 0:00,2022-09-30 0:00,2022-08-31 0:00,2022-07-31 0:00,2022-06-30 0:00,2022-05-31 0:00,2022-04-30 0:00,2022-03-31 0:00,2022-02-28 0:00,2022-01-31 0:00,2021-12-31 0:00,2021-11-30 0:00,2021-10-31 0:00,2021-09-30 0:00,2021-08-31 0:00
GIES CN Equity,3583775.139,10515340.12,10244376.66,9295122.07,8858473.206,8427749.634,3917833.061,3797591.591,3433533.058,3404036.541,3193289.89,1214691.353,1225413.227,1216865.826,1141700.554,1097237.778,1074359.894,1033655.834,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGAF CN Equity,20733928.3,3114164.124,2386786.27,1639932.327,1543351.212,1537586.727,1563388.519,1628141.403,1606634.636,1609290.771,1557703.075,1129384.518,1102315.903,1117195.797,1098154.831,1055454.731,1044730.663,1028621.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEQT CN Equity,9884807.587,20559086.01,22045284.94,21378508.13,19747359.47,19344783.9,17930083.43,12083473.33,11642721.58,9368615.322,7882339.172,5464343.691,5049945.831,4745280.333,4119028.721,3420141.029,2157824.459,1107195.053,,,,,,,,,,,,,,,,,,,,,,,,,,,
QASH CN Equity,133435673.2,10110231.78,9086308.098,7942287.254,6333725.929,6441774.845,6128830.91,6075684.547,4719004.822,4671532.059,4574623.108,4525698.853,4429642.487,4478464.508,1091536.331,1043103.027,1025547.981,1008752.251,,,,,,,,,,,,,,,,,,,,,,,,,,,
QLB CN Equity,67237278.44,123371429.6,117253510.1,102127080.2,112838897.7,121225451.7,137312270.5,150321074.5,155128105.9,136001211.5,127738346.4,124731500.9,120626248.2,124649024.7,85477223.59,47286377.56,38062227.78,23044321.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
QTLT CN Equity,131557020.6,71749395.45,70399051.67,69816249.39,68685902.71,71652433.32,67133769.53,68661943.36,65400019.23,64617734.68,63405321.35,64395922.85,58331469.73,65792387.7,61636889.65,62422036.74,64946539.31,61344548.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBFA CN Equity,0,139827973,138518019.1,133910850.5,132238828.3,137840515.9,133166640.6,137562382.8,127211398.3,125695907.6,122141290.3,118705819.7,85888898.32,84562212.22,75687808.84,74787709.35,73801977.54,46117207.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBFB CN Equity,24908013.15,0,0,0,0,2602615.929,9359456.863,9334398.88,8107114.41,7488601.608,6258664.246,5240874.443,3821518.002,3012357.044,1203669.205,1001213.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBFC CN Equity,21441863.48,25097522.98,24443810.46,24006367.8,23746764.76,23283761.56,22612172.51,12309075.16,10610205.61,9154523.563,7478283.997,5840601.482,3609499.741,3009710.312,1601599.731,1400250.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBFD CN Equity,14719179.34,17866311.36,17204423.87,17191322.02,15022809.45,14349868.76,15334285.74,15143197.59,13755118.35,11046799.96,9300553.932,7640497.055,5395079.842,5013836.384,2800006.142,2398996.811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
