ETF,2025-04-30 0:00,2025-03-31 0:00,2025-02-28 0:00,2025-01-31 0:00,2024-12-31 0:00,2024-11-30 0:00,2024-10-31 0:00,2024-09-30 0:00,2024-08-30 0:00,2024-07-31 0:00,2024-06-28 0:00,2024-05-31 0:00,2024-04-30 0:00,2024-03-28 0:00,2024-02-29 0:00,2024-01-31 0:00,2023-12-29 0:00,2023-11-30 0:00,2023-10-31 0:00,2023-09-29 0:00,2023-08-31 0:00,2023-07-31 0:00,2023-06-30 0:00,2023-05-31 0:00,2023-04-28 0:00,2023-03-31 0:00,2023-02-28 0:00,2023-01-31 0:00,2022-12-31 0:00,2022-11-30 0:00,2022-10-31 0:00,2022-09-30 0:00,2022-08-31 0:00,2022-07-31 0:00,2022-06-30 0:00,2022-05-31 0:00,2022-04-30 0:00,2022-03-31 0:00,2022-02-28 0:00,2022-01-31 0:00,2021-12-31 0:00,2021-11-30 0:00,2021-10-31 0:00,2021-09-30 0:00,2021-08-31 0:00
XIU CN Equity,15745385796,16005669777,16274921637,16804657757,16398314819,15071189190,14394521385,14049488679,13343671112,12655825534,12411596273,12279392768,12339088058,12641156469,12213772741,11943525391,12343333362,11939228630,10520478552,10942774668,11674617965,11375813890,10983070895,10304018649,10785259320,11016858655,11165673005,11121065181,10601112538,11441553056,10685679802,9693271706,10826369280,10429941351,10853940179,12610537827,12607557314,13100360496,12646145856,11513408778,11043292221,10701814403,10135434312,9879105474,12069927222
XIC CN Equity,14922647736,15007281503,15276207870,15346925163,14493273601,15147029810,13426000633,13359322583,12958740942,13445414996,12131337199,12164961301,11297155281,11796137858,11015184531,10845865395,10500134642,9582671405,8286716654,8492522333,8990194138,9088721411,8963466034,8742011283,9235291649,8988370222,9038121948,9489426512,8855957616,9509145982,8739920623,8456039230,9055323804,9152871089,8686519653,9932032013,10039603266,10875871892,10441274215,9981313660,10278877729,9422968155,9511386902,9148028236,9487718391
ZCN CN Equity,9812493715,9842347848,10175151342,10028495042,9388582212,9652422406,8493629143,8483334391,8067865039,8274768875,8042070163,7645029891,7387244008,7450073352,7256818600,7333252743,7265254608,7072834927,6687671846,7019419510,7200014078,7242057326,6843674210,6434661174,6907428613,6810034698,6827173164,7168326440,6665058237,7017504608,6921213209,6640694344,6983722364,7124352945,6706576910,7506822829,7586698833,7747315423,7446966511,7377675258,7599459230,7061190577,7149317269,6787409152,6945681196
VCN CN Equity,8877930948,8658138200,8781376740,8714727382,8391336725,8515205202,7891406546,7742180072,7484380902,7285567045,6725345938,6778622784,6533292632,6574705458,6278203812,6062641424,6032525474,5769007656,5344038976,5483191983,5638349743,5676872240,5465647679,5242923126,5463323272,5258861003,5230158892,5309121658,4936098049,5153797660,4778399786,4505662623,4681123759,4764610592,4475892444,4887414624,4826105764,5053931141,4871242914,4782079864,4706451515,4465451351,4474401620,4202381191,4242465614
HXT CN Equity,3832796857,3829942321,4013879205,4071205894,4173253145,4251602547,4035628330,3965376451,3866331345,3844695276,3618223860,3768571002,3837492079,3922934187,3754295719,3671853345,3727477034,3448876347,3248492461,3310198475,3396715811,3817165627,3464245668,3524878694,3902647059,3655063370,3787266085,4118258957,3831401947,4093399212,3730961818,3398630339,3677025066,3670281900,3551920527,3809443852,3778791525,3908500468,3288661825,3102426286,2881208378,3002200399,3021734675,2667133013,2717747761
HXT/U CN Equity,3839469275,3826083265,4006249360,4034088967,4177752985,4250843387,4035483382,3960245713,3873647095,3845112941,3616768844,3772303783,3834286343,3920472618,3756093797,3657787971,3715240272,3452815918,3251186332,3301059517,3405262648,3810941434,3459408026,3532408738,3903655077,3657227148,3779494397,4123365911,3828572488,4118504746,3735206847,3391618417,3666246001,3672144986,3551920429,3804775322,3770114415,3902404001,3292034956,3099131073,2881094425,3012423594,3026617860,2671554912,2719793935
HXCN CN Equity,1232150419,1188152079,1424291387,1438691369,1455453925,1504704129,1414577830,1406582402,1371171372,1362143853,1282989329,1290662359,1280368837,1300587301,1248925444,1219878866,1209858231,1289815019,1199983898,1236738188,1282565178,1293971736,1261451578,1220492095,1280803545,1244660849,1247295514,1278626334,1190437306,1251697833,1186023445,1657459050,1728069070,1756291993,1678181967,2214930339,2107025088,2316110380,2224835310,2196523785,1992494689,1893202465,1893086459,1790766771,1804040774
VCE CN Equity,2174407105,2136645425,2188780183,2185224207,2075748064,2139198794,1992211353,1974004757,1881726594,1833476659,1706556067,1740204532,1666803627,1686331927,1590398596,1548912647,1506542263,1449473426,1350927630,1375514288,1403695264,1410987422,1367918445,1327578744,1384053748,1326835400,1331681656,1361649055,1251158841,1318581093,1238554251,1210200639,1271232568,1281669481,1216491127,1324500322,1302736267,1335979323,1279710669,1265449805,1228109312,1176559138,1165195260,1087239666,1101954177
TTP CN Equity,3041931691,2619143132,2574712246,2565069874,2459335059,2472741544,2112836316,2040633101,1966378776,1945795287,1807047126,1805002898,1725596697,1722156922,1637289739,1571952288,1499686148,1446405576,1314284279,1330304309,1364619129,1432655322,1424268072,1345414558,1288886729,1224294176,1223046326,1068952045,969192378.9,1010744290,970360708.9,918969122.7,950419855,1049513282,1294452867,1459923658,1720566496,1801336467,1723992796,1739933655,1743312629,1641264214,1611650678,1531053409,1514358823
QCN CN Equity,1859980209,1821338928,1783537020,1771601330,1649903652,1676269550,1567556638,1559068636,1523753888,1470111650,1416984468,1418827782,1387095659,1425173965,1366138630,1285823333,1276101338,1246943493,1160489477,1178347013,1225976867,1230127549,1195765648,1132705159,1174067645,1106999631,1102585686,1107904290,1059162139,1108445607,1044719081,989445704,1042259586,1035311245,965519393.2,1265219388,1244466981,1302930263,1255821152,1236228662,767673759.2,755213247.4,744945730.6,478972368.2,481974082
FLCD CN Equity,214347915.5,214401710.9,226346752.2,235253315,223722203.1,232931222.5,210411221.7,206912960.8,200695706.5,196588215.8,198596427.6,205881856.4,197614192.4,199849959.8,200268433.2,195006931.5,195298817.2,188099663.7,166488859.2,174364828.9,178762926.6,186642883.1,181818428.1,182417953.5,191916283.8,190382774.2,190153701.8,198784802.1,212820611,225424969.8,218717179,213277874.8,225824320.5,244935510.6,258908620.4,279468911.7,281933631.9,306557813.6,360868064.1,360404371.5,394467320,384907397.7,396571867,393267940.9,406004976.8
CCEI CN Equity,491187519.8,480429896.2,488379082.8,497667934.1,475556699.6,498445310.3,493100204.8,609594574.9,611097996,606177833.8,579939621.3,592266121.3,562392793.9,443930214.3,316955776.1,294982145,243883193.8,182300885.6,155630637.7,154201969.8,161040262.1,163225568.1,159115241,152996952.9,160911425.6,152100760.3,153587534,157418020.8,144643958.4,153865017.1,145704291.9,213080569.5,224098833,227936603.8,215758856.5,219293617.2,219155445.9,230470527.3,223398832.7,222816725.9,205415102,177507202.1,151086336.7,53675251.01,6631289.864
QCE CN Equity,157183758.5,154114473.3,156506265.6,155944564.8,149314361.6,150278730.5,140514624,136361030.6,132905093.4,129858154.3,124060636.6,127270558.2,124070935.1,126869907.8,120835674.4,115566023.3,114680614.5,109032666,98986648.25,101951874.1,105901285.2,109760737.9,107207387.1,106647493.7,112565876.8,108712401.6,110533303.1,110427639.8,103203800.7,109749955.4,110945387.6,104863149,110165530.1,112003425.4,105279839.8,115907562.3,100460870.4,108075652.2,102365161.1,102433386.2,102578161.6,99986956.79,101487200.9,108343576.8,101663502.7
CCDN CN Equity,201094631.6,202440423.4,204160860.7,208586535.9,202890289.9,210002173,197455114.6,192090576,191204248.7,187743465.5,178480049,180189474.9,163619144,166453248,160841209.9,153568631,154779336.2,147360019.5,140229262.2,144698535.3,153781719.8,152826691.7,145890558.1,136510504.3,149804240.5,145605757.4,146962197.3,147531583,134701224.8,142171367.7,80122414.5,75886750.42,82709965.04,72454626.66,69176891.56,81367897.61,81353565.34,85533760.67,82871935.93,85712761.31,86031179.46,83877804,76017372.84,69379304.93,63266803.84
SITC CN Equity,220251837.7,220237649.9,149911612.3,105900485.2,133372382.6,126921918.6,79384484.29,78689859.82,77100624.18,74339844.13,71556227.21,69736798.1,67280189.28,66630542.18,65537099.36,59939953.85,64265217.21,60238358.35,49810342.74,41171000.72,43423873.62,43981906.13,42309149.74,41782619.48,43440963.51,42590294.55,44788369.75,45205569.17,85133700.37,85540802,71469394.21,36466408.92,38322640.8,38327851.3,36808951.38,40494300.84,38344613.46,40246845.82,36984733.77,35637289.43,32941799.93,30050888.3,28469279.77,25086457.59,23814629.17
FXM CN Equity,280871929.8,295349106.7,299067889.1,301696656,304659966.3,307397049,299493177.2,301492190.7,306426005.7,311387644.2,295510307.8,306312066,305309201.8,318552114.5,308702555.7,306699036.7,312108318.3,324996824.8,306329670.1,311507025,328891584,331382561.8,319397196.1,353798622.6,373107455.7,403187173.5,412477083.4,407987907.2,408672570.4,432693419.1,375365986.1,361116144.4,402869714.4,422411851.9,396834575.6,464703317.1,355422978.3,363450197.4,267119520.2,266661926.6,261597101.3,243914960.6,249814008.9,245950471.3,241653500.4
PXC CN Equity,146544721.5,155827770.8,162558114.6,164969828.5,158434919.6,203028706.4,194161279,188304260,180070153.2,179548162.9,176483900.1,182573788,180269164.8,179759239.7,175229394.3,172972185.7,171170308.8,171125666.9,174763345.9,180496569.2,206025548.3,200998709.9,174482888.3,179865925,177049866.9,187167674.8,210051416.7,199734239.8,213182995.1,210967700.9,185861111.7,187389911.9,212885521.6,213032973.9,238847501.3,284380171.1,282985382.4,300240431.6,296030650.3,258766740.6,259739914.9,259273959.9,263605141.3,244153512.2,249236700.7
XCV CN Equity,76136050.8,76002500.53,76417436.98,80270034.79,77902145.39,76625082.78,69425422.67,72255504.61,74453231.81,72919738.77,75601258.09,85584017.94,90027568.82,91509498.6,84676990.51,89896165.47,90305001.07,90693109.13,84501453.4,87557603.45,90528469.85,92302801.51,92091732.22,92995771.41,99824707.03,102131335.4,110234028.6,123127940.4,117860682.5,123909929.3,102692138.7,96155114.75,94942949.3,96104907.99,97281704.71,110101796,107522570,100322200,87742500.31,85375909.81,86999276.73,76754250.53,78369894.03,70789865.11,88818202.97
CRQ CN Equity,92405080.8,94519722.46,97213204.57,98665987.21,97275902.94,101760258.2,96288881.97,95427983.76,94373886.11,94248198.51,87684593.2,90720474.24,88841753.48,92696064.09,89313598.16,87264861.77,86216848.37,84140939.71,78800211.52,81394808.48,85409727.86,89054406.74,88375582.12,88048931.12,93602545.74,90829811.1,93430892.94,97352783.58,90886420.06,97429160.12,92823780.82,88038205.34,92978885.27,94566352.65,93305703.74,105524097.4,104360407.3,107985994.9,105140154.1,100954385.4,98687754.06,93941729.55,96132433.89,95104103.28,95223332.98
FCCV CN Equity,330315613.9,318930480.8,302613927.8,288113995.7,254746630.5,244540793.9,224713497.2,208643242.5,202402683.2,195467334.9,173338856.9,162285746.4,147522637.4,141382200.6,141703947.1,128263200,122421512.3,112625853.3,100361204.1,101425277,101674683.6,101272541.5,92578319.55,88295848.49,92971866.99,89165247.63,91410639.74,86478787.42,76244009.4,83448540.12,74268677.19,74717372.99,85969352.25,78471538.07,76327021.98,84889062.74,90414056.97,85614601.14,56365065.91,45056879.14,29702475.79,26312160.3,24846510.6,12721484.76,12510749.96
XCG CN Equity,109537923.4,109264701.5,114083993.3,114831519.1,103901045.6,105348504.6,92792237.28,92989691.73,88351304.24,85132261.85,80599828.72,81228303.34,79998658.56,82349089.05,78219079.59,76290826.42,77097267.15,76801850.13,68458647.54,69720040.51,75455028.92,80213069.92,79578691.86,77076507.57,79799057.01,78046785.74,71347439.19,77784095.76,72467413.33,69108978.27,68711577.99,65719457.63,68794242.1,74612253.57,69955410,74561517.33,76375888.82,81942111.97,77633953.86,83155832.67,82808425.14,86284450.15,87825293.73,84210963.82,88387486.27
FQC CN Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,12929760.85,12583744.61,11956449.8,11767286.59,10044213.7,9809382.056,9995394.732,10110341.75,11666572.09,32704399.56,31484836.51,32812097.66,32098579.32,31992702.59,33146280.98,31676125.63,36442787.93,35419110.01,32261323.42,33159400.17,34154999.37,32314904.77,34299268.16,43105473.39,43851945.96,42946531.74,43652981.69,42863949.91,39534467.51,40524547.51,39180865.08,40635563.42
FCCQ CN Equity,300637370.7,278328062.4,266947404.5,249392479.1,217876416.8,210523864.7,181905002.6,168342562.3,155228445.1,148527714.5,127527236.9,116762796.8,105281501.8,123143696.2,104904479,87579834.79,82045599.37,74756200.36,52942140.2,48424676.42,48785119.63,47081021.26,42693996.19,39413249.59,36186005.4,34602925.49,37797875.4,36992280.58,33297100.54,34700674.44,33061004.07,31145333.96,31285540.58,31860618.97,26124429.23,27597690.58,26033034.99,28780289.84,27007729.91,25202160.64,22568700.79,21949969.67,20495735.26,18043799.97,18768420.41
ZVC CN Equity,62787088.33,62193623.47,70773047.76,64190116.73,62371726.76,60046936.14,57106707.91,57336365.92,54848682.03,53373214,50777699.95,52340333.52,19739312.31,20288244.8,19497472.33,20268021.83,18859590.61,18325663.29,17449982.44,16862112.13,17307738.38,18752690.37,17990900.72,17481247.23,18572656.56,17943073.62,18499246.38,18788161.19,17540666.34,18354425.34,18760832.47,17427809.46,23352324.98,23817880.74,18191363.59,29537644.75,30352123.01,31033306.22,18508172.61,9284239.187,7711382.312,7387039.261,7505930.815,7077896.762,7098066.925
SBCV CN Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155951.786,1155951.786,1090796.661,3069030.762,3356522.369,3319547.081,4382879.639,4549465.561,4271669.006,4475275.421,4226762.772,3937844.467,4283172.989,4295357.895,3995357.132,4789269.257,4708520.889,4708022.308,4592970.276,4464585.114,4435833.74,4160363.77,4174523.163,4026249.313,4108604.05
VDY CN Equity,3520304503,3464763404,3470172381,3432286963,3296322224,3320156149,3115323266,3005820768,2862006844,2755827457,2580656628,2603329584,2488227870,2508942687,2393018806,2358577478,2354132068,2236475777,2049489229,2085061807,2131407149,2165181523,2101262619,2021663104,2124961088,2017628660,2007305352,1966710926,1850020938,1916137340,1813589233,1687152062,1734632649,1743029555,1680344908,1825777555,1750400982,1761676553,1651784138,1580617690,1429884222,1334169176,1304087525,1210429040,1188923706
XDV CN Equity,1725070451,1695027762,1713616012,1757348076,1777172707,1796008778,1725677526,1715418400,1635121359,1588927492,1507007075,1514346179,1503348821,1566926184,1550186877,1581189570,1636040409,1496216151,1411850872,1473726326,1535177655,1619515126,1614927847,1569802350,1664616306,1613899052,1675675407,1688825381,1567342701,1633041835,1580885208,1512975459,1592242424,1641712701,1622431708,1771195894,1773402494,1910605574,1910158525,1903617819,1839867323,1750118137,1775927901,1700125400,1758992747
XEI CN Equity,1780260179,1740734591,1734280406,1745515434,1701792996,1765172403,1698721947,1666433366,1569582075,1631093591,1558010880,1640198338,1566846191,1603351490,1569727233,1562686269,1550217561,1481746126,1372633582,1379274096,1415864530,1425919456,1461642953,1415781734,1507988668,1447955507,1439144434,1463932037,1340940835,1377590842,1316176001,1228411530,1290811123,1295261743,1263848782,1643599485,1580015526,1736399205,1651544281,1598890915,1493461265,1415898890,1116518249,1060003787,1048190486
CDZ CN Equity,921907608,916723670.2,918763975,940927513.1,986351774.8,997410258.5,961082507.1,953256001.5,910168745,905911580.1,853438673.4,859507705.9,857106233.6,895979076.3,884541323.2,889286888.1,954297389,876199335.4,811594966.1,847978159.9,887627964,914410342.4,918240241.1,912148917.7,957834888.5,945884894.7,963817477.2,983010568.4,945337371.3,1017163805,945345845.2,917167478.8,981246540.1,1001249151,957329092,1035989650,1027329420,1059577615,1019296761,1018185380,1015360431,968982281.4,1000125650,969105936.2,988020579.4
ZDV CN Equity,1082151460,1098674962,1104769541,1132515363,1111898779,1149193869,1098251689,1095258176,1068054907,1053967604,999582483.2,977708499.9,954244825,1007702787,985866855.2,988729231.8,1025724924,984631382,921359299.7,952839635.2,979084398.1,1013933811,975088219,954533509.8,1017153820,981681485.9,988104955.7,1023531152,965323631.6,994630401.1,915181505.6,852812974.5,901006922,917848732.6,863394977.2,918465227.6,882891226.7,894898758.8,844909563.2,821732321.7,798029727.5,757317877.6,756947046.2,718234013.4,719240756.3
PDC CN Equity,776605160.4,779484447.9,797472044.3,808279686.6,798073310.1,834337156.9,805643354.5,808739839.2,780957257.2,763299115.8,738891515.4,767574301.2,753196444.4,782704402,759331356.3,761325899.9,772376801.4,735388657,730672437.9,773057414,807655197.9,854083031.8,812966844.6,808204579.2,864922114.9,830515132.4,869847448.5,906892172.4,835310509.1,881150119.6,847787880.3,825607931.5,888017396.6,892359665.3,863965901.1,940503689.8,927525243.2,962582147.4,929166143.3,912109935.5,853917522.2,815247332,821815093.9,786135435.2,786500203.3
XDIV CN Equity,2147830903,2134984103,2068997816,1998117378,1885531408,1868737241,1700003694,1671307578,1532692165,1416237810,1277192612,1246057113,1165872479,1107548318,1036414224,988046535.4,926467715.5,884009324.3,804801702.7,821238806,837402346.4,841177951.3,824552006.7,796832092.4,823360880.5,777126891.9,773121735.1,759283153.2,708957619.4,729549671.3,687339542.4,686405546.7,713824518.2,709892733.1,690370874.4,723023551.9,711857707,729621730.9,687700235.4,670924440.1,620701362.9,556674631.5,544450028.9,493371650.2,468751104.5
FCCD CN Equity,211314582,213990066.4,206219923.5,212375795.4,209675175.9,215925376,204605308.8,202784850.6,193646673.8,190156558.2,167097357.6,167815505.3,164139529.8,168788222.1,169386665.1,174601023.1,164151262.8,160408127.3,151893746.9,161636706.1,171976651.1,178696011.4,178388841.8,176764273.2,194178413.5,189074813,194484320.8,197624263.9,185510877.4,200078994.1,190118460.3,181908598.3,192446544.2,199611286.2,186287646.1,207653764.7,189075201.8,171709334.9,155080289.3,140790382.2,131286603.9,123735366.3,126452482.6,119265661.4,121145189.1
RCD CN Equity,213831503.1,210896601.4,212322200.6,209225229.3,184983403.6,191227584,184289708,184887564,175993788.2,173710954.2,149683316.8,151139493.7,143302183.9,147809118.7,142162423,137620483.4,122682107,117357395.1,108141538.6,110583745,113817551.6,116692441,112930774.7,113364614.9,119833850.1,116225930.8,116078424,119154968.7,111774388.8,118081613.2,111286984,106536250.1,110790778,114132489,110034009.6,120364170.1,121475246.9,127671615.6,123915701.3,122243252.6,119474647.5,113757710.9,116080797.7,111550346.4,113971044.5
HXH CN Equity,149280326,151449559.8,150601619.2,149992314.7,146505635.6,148248497.3,140539404.3,136542513.4,133495355.8,129227386.9,122499802.9,126777388.6,122672854.3,121903271.9,115111834.2,106756816.2,101704456.2,94461654.21,88919940.03,82030578.87,84421834.47,92222132.13,91335367.41,89006970.7,94836673.66,90501507.67,91691619.02,93909157.95,86578119.53,76783801.05,70005503.44,63644317.99,67507239.52,68722524.57,66983632.98,70812874.56,73582987.06,74615175.38,71813986.49,70111117.2,62066067.51,57099734.97,58625895.5,55855129.71,54956545.13
TQCD CN Equity,767663184.9,780712036.8,759242813.7,719810885.8,680366840.4,674841660.7,639789956.9,620163318.3,532452523,495342552,445878295.1,438400135,393508456,382130799.3,332593628.3,277957308.4,239342049.4,212385084.3,168053392.4,160165531.3,153424640.5,146806006.3,136658343.3,126688387.9,127605420.1,114717904.1,107955998.6,102331127.9,87808593.75,80383163.07,71809807.11,65692645.17,66891198.64,64575376.8,55716884.99,58373045.54,53562327.96,49744449.23,43652732.09,40300748.83,38060474.4,33767545.32,31533665.66,30904694.65,28614944.84
WXM CN Equity,553733228.4,561452727.2,583830158.9,590782584.8,580135261,588061820.6,573718039.3,560013955.7,567707421.8,571562554.8,547700217.9,552723049.8,546198601.1,572836889.3,553512613.5,541739515,526619960.3,539368203.8,513813425.1,540777079.8,573056226,588121184.5,575994917.5,570786600,598012003.8,621573322.7,635899433.5,641951052.7,643049585.9,790110518.9,842024535.4,786723765.9,876005874.9,909256942.7,874808209.4,988122797.2,1065859523,1058303747,939232278.7,864266281.4,823487982.8,774947662,789985368.7,752538088.7,766310805.8
FCCM CN Equity,314100410.3,275640981.7,255146241.2,228412795.3,205811182.2,198534756.7,170691297.1,155897427.1,140096363.1,127594450.1,107715363.8,95315642.17,82646935.34,74930458.83,63449927.69,49579229.88,43863959.88,37422891.57,32095912.81,30960405.21,30539700.51,29052044.53,26990009.31,23834745.96,22533300.16,21174931.03,19684821.65,16968824.82,15738359.5,16777529.24,14475600.24,13643249.99,12861854.84,12856320.05,12149864.82,13445864.87,10465769.58,9367829.99,9028259.754,7536375.046,7586475.134,7324350.357,5931239.891,5696640.015,5839080.048
SBCM CN Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770919.228,1770919.228,4661634.445,4724151.611,4627561.092,4827757.835,4705020.905,4301840.782,4638649.464,4570362.091,4385741.234,5024774.075,4836980.343,4841106.892,4768917.084,6690215.874,7555427.551,7471333.313,7742618.561,7495087.433,7852183.533
DGRC CN Equity,820011538.3,882701763.2,886691954.6,874679549,851700518.3,872404935.3,834996111.6,818740847.3,837429264.3,836165386.4,790021596.5,801793472.2,757484320.9,776286916.9,720311606.5,681450054.9,696131108.3,627192886,575287132.5,591224149.9,607796226.4,545125502.3,533203600.2,496062442.3,508686591.1,529529484.8,508171893.2,509370865.8,452431750.8,475486952.3,473800299.4,443702215.8,462517941,494822862.5,485407789.3,536700480.4,394946287.5,381181294.2,414429929.6,414026709.5,415965699,373304621.5,375501669.1,377430982.7,413352415.1
MCLC CN Equity,324180004.5,327562289.2,332094348.9,344957928.1,335164227.7,350595552.1,327637401.4,328825594.9,337099138.1,333395270.9,313167205.8,327564553.1,326113913,331415048.2,328702022.6,310070623.8,325767849,318358543.4,306916957.5,317787854,327507476.8,330415686,316183761.4,308932779.7,330620989.8,331483680.7,333040312,340327337.1,321618840.8,341668084.7,360250000,339191598.9,361875357.6,369198136.1,346419717.2,383298286.4,380374153.7,410935142.3,410131210.3,416667426.7,423760907.4,412332472.8,419729976.7,246496596,242801061.6
QCD CN Equity,0,0,0,0,0,0,0,0,0,0,0,0,827979.5647,48644682.88,48371575.74,47779474.74,46909317.59,47698096.08,44900984.19,58143573.95,60852262.97,62125096.32,61630880.36,59733652.69,62703471.76,62030588.63,62245842.55,64333054.73,61653667.45,66450958.25,63763777.26,59580570.22,62399459.84,63905742.65,59589674.38,66105324.27,65854004.19,71501179.12,70481201.93,71429535.87,72485584.26,70183790.59,71935016.16,72151499.75,73742740.63
XFC CN Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16007030.87,16553375.24,19484559.44,18806749.53,18590673.83,19219115.45,18716995.81,21697032.17,24369809.53,30846814.73,29329455.38,27366985.7,26225496.1,33106997.11,36588506.32,34448152.92,38165813.45,38182214.36,42630226.14,39167062,42480211.26,45986306.76,36134149.74,36701478.96,35424776.84,36398284.15
RCE CN Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9504955.196,9767533.97,10798021.7,11902841.95,13849870.68,12133997.73,12251622.68,13950425.15,13062406.54,13724697.11,12952417.37,12303771.02,12971850.4,13206364.63,12622581.48,16685301.59,16695373.54,17438353.73,16935104.37,16856750.11,16955044.56,16408711.62,16612570.95,15844684.98,16281439.59
INOC CN Equity,31561841.4,39172690.74,39698499.25,40426626.16,40615985.09,42244408.23,38762830.38,37375243.38,37050114.27,35918530.01,33810520.82,32652071.88,31061864.13,31335708.72,30338069.69,29272994.41,29566102.01,28704695.42,27181526.58,27403481.27,27419956.51,28433362.17,28239186.67,28305302.23,29219482.14,28711060.67,29628585.86,31423828.31,30015573.6,32152807.79,31604184.2,29959140.13,31531053.15,32311604.75,29487522.88,32507097.68,30948424.49,34235000.16,34409901.27,34241468.52,33890349.51,33702548.93,35112104.58,34741447.65,35835009.64
CDIV CN Equity,625937848.1,633383074.2,636323013.8,631512010.6,613862794.9,624662181.7,595249209.6,595217004.3,581137549.9,509601934.7,487431123.1,504476483.3,499355244.2,523476906.9,506626737.1,503202627.5,502251742.4,485909514.4,380513260.4,376084387.3,379818992.6,379934268.2,364921497.3,349738798.9,348758208.3,332328157.1,319370995.8,306275618,260964857.6,269469116.9,231821971.4,220541481.3,236622155.4,230402595,213505725.9,207048431,174962281.2,138842399.4,103470413.1,92751113.89,72368440.03,69787124.99,60456100.46,44937311.17,50200236.68
DXC CN Equity,285377926.6,264501022.7,290969461.1,293662075.4,316322145.1,323848558,300807579,294985735.9,273290262.2,276448492.4,262652212.5,253736636.4,243156609.5,245121761.5,220202019.9,190265658.8,186692546.8,173673582.5,155885923.8,160501120.7,169290808.5,168458409.5,159404471.8,152726403.8,158612481.1,152958210.4,136566541.7,133425201.4,124763119.6,125386315.9,118783872.1,129860856.2,132549898.9,133506331.4,129621663.7,133194378.1,133690493.2,133179144.3,121861721,116136476.5,101301804.4,91163760.76,89068799.59,81873505.78,83443064.12
HAL CN Equity,114063549.9,114925507.4,117220093,118642312.4,120040866.3,125868969,123212132.1,122032093.7,123763569,122693080.2,117717673.4,117915746.9,117130916.8,121620195.6,119193387.2,120369862.7,120802656.7,120746861.8,116870659.6,120916639.3,132345178.4,134235900.2,134378090.3,135241902.5,141952886.5,138232890.4,139215602.7,140837811.7,127441591.6,133536627.9,116543810.9,106927428.3,113656202.6,113310865.7,105665110,118368586.9,115303267.2,117285533.6,104735975.5,103458368.3,98010460.25,93266153.12,96314623.92,91831721.48,91726251.38
FST CN Equity,116602663.2,128067107.3,111735012.9,111482999.4,104878398.8,108125752,87903719.77,89680883.41,88143861.16,84059307.59,81528261.2,79753663,69963805.22,70749749.13,70667857.98,67304714.84,66264775.8,63903342.18,61162903.02,0,63100549.99,63117058.64,59269389.64,57167130.28,63215619.89,61423002.4,62218394.63,62319938.13,57934191.49,60379315.2,55506443.61,49569809.97,40335107.61,41020396.29,38009128.41,41503466.19,41666451.24,43270585.66,46140544.4,20567382.71,20222548.64,19428746.86,19715582.64,18903343.27,19607697.17
BGC CN Equity,21902379.61,21582918.93,25613714.22,26334649.09,26036378.86,26505360.6,25882452.96,26413596.15,23742917.25,23790432.36,22277445.79,21901515.96,18403194.81,18799891.66,19215701.29,12417790.99,12200344.09,11712476.35,10823121.64,12279821.49,12801361.37,9976337.147,9985807.991,9734973.812,9848304.176,9732823.563,9709359.074,9509739.685,10268823.24,14590400.98,15254821.01,14731249.24,15389079.67,15682808.3,14501228.71,15157301.33,15040911.48,17044812.11,15262384.41,15753514.48,17749001.5,17162758.26,17691583.73,16989940.83,18936425.4
FLRM CN Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3374951.077,4439616.394,4213305.664,4288883.209,4443728.256,4550528.717,4515084.839,4479266.357,4688536.835,4565861.511,5806912.422,5877871.99,5557601.929,5850982.666,6715931.511,6461182.594,6810275.459,8082030.106,7826449.49,6070072.174,7243939.59,7559278.107,7389496.994,8683322.239,8746491.909,8520554.161,8622618.58,8283198.929,9811250.305
GCSC CN Equity,21233596.25,14590795.42,14912126.35,16213605.88,15320444.25,14380736.02,15632691.19,15550821.3,15047043.23,14463653.8,13087629.8,16160395.15,8202331.663,7345859.972,6365731.221,6169548.275,5191831.719,5165469.877,4940224.046,4926046.516,5119045.036,4982130.371,4906348.115,4882538.172,4315808.95,4178551.512,3505544.326,2773194.778,3301108.897,2787336.484,2664710.207,2531059.886,2523799.403,1879136.092,1793230.538,1904330.003,1953887.609,1990629.448,2003593.861,2056980.769,2050276.314,1335379.301,1320235.956,1300544.425,1341891.254
CDEF CN Equity,2947649.956,1452112.556,1448387.504,1414087.534,1385025.024,1443862.557,1396587.491,1396862.507,1353287.458,1325437.546,1247937.441,1265699.983,1236675.024,1260812.521,1231799.96,1201537.49,1182224.989,1164625.049,1101812.482,1119362.473,1144062.519,1165724.993,1169600.01,1165162.444,1214787.483,1181074.977,1168812.513,1173962.474,1134012.461,1185124.993,1122437.477,1085762.501,1127137.542,1152925.014,1116862.535,1191400.051,1203225.017,1247737.527,1188512.444,1201725.006,1237487.555,1206112.504,0,0,0
